DATAFLOW,FORESTRY_AGR_AGR_001,AREA_AGR_AGR_001,YEAR_AGR_AGR_001,OBS_VALUE,OBS_STATUS
STATSNZ:AGR_AGR_001(1.0),6050,17,2013,527,
STATSNZ:AGR_AGR_001(1.0),6050,18,2014,0,
STATSNZ:AGR_AGR_001(1.0),6050,2,2013,60,
STATSNZ:AGR_AGR_001(1.0),6050,20,2008,2658,
STATSNZ:AGR_AGR_001(1.0),6050,3,2003,2046,
STATSNZ:AGR_AGR_001(1.0),6050,4,2011,137,
STATSNZ:AGR_AGR_001(1.0),6050,5,2010,194,
STATSNZ:AGR_AGR_001(1.0),6050,6,2013,198,
STATSNZ:AGR_AGR_001(1.0),6050,6,2018,901,
STATSNZ:AGR_AGR_001(1.0),6050,7,2014,,c
STATSNZ:AGR_AGR_001(1.0),6050,9,2010,98,
STATSNZ:AGR_AGR_001(1.0),6051,10,2003,32279,
STATSNZ:AGR_AGR_001(1.0),6051,13,2008,1737,
STATSNZ:AGR_AGR_001(1.0),6051,13,2018,2407,
STATSNZ:AGR_AGR_001(1.0),6051,14,2013,,c
STATSNZ:AGR_AGR_001(1.0),6051,15,2007,1033,
STATSNZ:AGR_AGR_001(1.0),6051,15,2014,1418,
STATSNZ:AGR_AGR_001(1.0),6051,16,2012,3295,
STATSNZ:AGR_AGR_001(1.0),6051,19,2015,10902,
STATSNZ:AGR_AGR_001(1.0),6051,20,2015,40015,
STATSNZ:AGR_AGR_001(1.0),6051,3,2013,6142,
STATSNZ:AGR_AGR_001(1.0),6051,3,2018,4287,
STATSNZ:AGR_AGR_001(1.0),6051,4,2014,7861,
STATSNZ:AGR_AGR_001(1.0),6051,5,2012,3225,
STATSNZ:AGR_AGR_001(1.0),6051,6,2005,4022,
STATSNZ:AGR_AGR_001(1.0),6051,8,2004,1890,
STATSNZ:AGR_AGR_001(1.0),6051,8,2017,2568,
STATSNZ:AGR_AGR_001(1.0),6051,9,2002,950,
STATSNZ:AGR_AGR_001(1.0),6052,1,2004,1446965,
STATSNZ:AGR_AGR_001(1.0),6052,1,2014,3153134,
STATSNZ:AGR_AGR_001(1.0),6052,10,2013,21333102,
STATSNZ:AGR_AGR_001(1.0),6052,10,2018,23703251,
STATSNZ:AGR_AGR_001(1.0),6052,11,2011,1359873,
STATSNZ:AGR_AGR_001(1.0),6052,15,2006,781788,
STATSNZ:AGR_AGR_001(1.0),6052,16,2004,993947,
STATSNZ:AGR_AGR_001(1.0),6052,16,2017,1147761,
STATSNZ:AGR_AGR_001(1.0),6052,18,2016,0,
STATSNZ:AGR_AGR_001(1.0),6052,19,2003,4708404,
STATSNZ:AGR_AGR_001(1.0),6052,19,2008,4621171,
STATSNZ:AGR_AGR_001(1.0),6052,19,2018,6522041,
STATSNZ:AGR_AGR_001(1.0),6052,2,2012,858056,
STATSNZ:AGR_AGR_001(1.0),6052,20,2005,18362059,
STATSNZ:AGR_AGR_001(1.0),6052,20,2010,21153570,
STATSNZ:AGR_AGR_001(1.0),6052,3,2010,3168875,
STATSNZ:AGR_AGR_001(1.0),6052,8,2009,1194445,
STATSNZ:AGR_AGR_001(1.0),6053,10,2010,32154,
STATSNZ:AGR_AGR_001(1.0),6053,13,2017,2372,
STATSNZ:AGR_AGR_001(1.0),6053,15,2006,2109,
STATSNZ:AGR_AGR_001(1.0),6053,15,2016,1751,
STATSNZ:AGR_AGR_001(1.0),6053,16,2002,2471,
STATSNZ:AGR_AGR_001(1.0),6053,17,2015,1845,
STATSNZ:AGR_AGR_001(1.0),6053,2,2017,1620,
STATSNZ:AGR_AGR_001(1.0),6053,20,2002,46658,
STATSNZ:AGR_AGR_001(1.0),6053,20,2012,48222,
STATSNZ:AGR_AGR_001(1.0),6053,5,2009,2166,
STATSNZ:AGR_AGR_001(1.0),6053,8,2011,2802,
STATSNZ:AGR_AGR_001(1.0),6053,9,2014,1355,
STATSNZ:AGR_AGR_001(1.0),6050,10,2011,5523,
STATSNZ:AGR_AGR_001(1.0),6050,11,2016,5,
STATSNZ:AGR_AGR_001(1.0),6050,13,2015,,c
STATSNZ:AGR_AGR_001(1.0),6050,16,2011,588,
STATSNZ:AGR_AGR_001(1.0),6050,17,2011,135,
STATSNZ:AGR_AGR_001(1.0),6050,3,2018,,s
STATSNZ:AGR_AGR_001(1.0),6050,4,2018,27,
STATSNZ:AGR_AGR_001(1.0),6050,5,2018,300,
STATSNZ:AGR_AGR_001(1.0),6050,9,2017,104,
STATSNZ:AGR_AGR_001(1.0),6051,1,2007,2077,
STATSNZ:AGR_AGR_001(1.0),6051,10,2018,30650,
STATSNZ:AGR_AGR_001(1.0),6051,12,2011,560,
STATSNZ:AGR_AGR_001(1.0),6051,13,2011,1113,
STATSNZ:AGR_AGR_001(1.0),6051,14,2018,1228,
STATSNZ:AGR_AGR_001(1.0),6051,16,2018,2853,
STATSNZ:AGR_AGR_001(1.0),6051,2,2018,,s
